no,query,indicator_tested,filters_tested
1,How many factories were operating in Maharashtra in 2022-23?,2 - Factories in Operation,"year=2022-23, state=Maharashtra"
2,show me gross value added for textile industry across all states 2020-21,19 - Gross Value Added,"year=2020-21, state=All India, nic_2_digit=13"
3,WHAT IS THE TOTAL NUMBER OF WORKERS IN INDIA FOR ALL INDUSTRIES?,32 - Total Number of Workers,"state=All India, nic_2_digit=All"
4,fixed captial in gujrat pharma sector,3 - Fixed Capital,"state=Gujarat, nic_2_digit=21"
5,Net profit trend for manufacture of motor vehicles from 2015-16 to 2023-24,30 - Net Profit,"year=multiple, nic_2_digit=29"
6,Tell me about wages and salaries of female workers in Tamil Nadu,35 - No. of Directly Employed Female Workers,state=Tamil Nadu
7,electricity consumed by cement factories in Rajasthan 2021-22,54 - Value of Electricity Purchased and Consumed,"state=Rajasthan, year=2021-22, nic_4_digit=2394"
8,how much coal did the basic metals industry use last yr?,51 - Quantity of Coal Consumed,"nic_2_digit=24, year=2023-24"
9,Invested Capital for NIC code 29 at 2-digit level in Karnataka,6 - Invested Capital,"state=Karnataka, nic_type=2-digit, nic_2_digit=29"
10,deprciation in all manufcturing sectors across india 2019-20,20 - Depreciation,"state=All India, year=2019-20, nic_2_digit=All"
11,Compare total output of food products vs beverages industry for 2022-23,15 - Total Output,"year=2022-23, nic_2_digit=10 and 11"
12,Number of contract workers in the chemical industry in Andhra Pradesh,37 - No. of Workers employed Through Contractors,"state=Andhra Pradesh, nic_2_digit=20"
13,What is the gross fixed capital formation for 4-digit NIC 2394 cement in MP?,23 - Gross Fixed Capital Formation,"state=Madhya Pradesh, nic_type=4-digit, nic_4_digit=2394"
14,bonus paid to staff in all industries across states for fy 2023-24,49 - Bonus to All Staff,"state=All India, year=2023-24, nic_2_digit=All"
15,Show me the industrial production index for chemicals in 2022-23,ambiguous - could be confused with IIP dataset,"year=2022-23, nic_2_digit=20 (tricky: sounds like IIP not ASI)"
